NAME,lon,lat
"Walla Walla, WA",-118.249,46.257
"Eugene, OR",-122.847,43.939
"Harrisonburg, VA",-78.876,38.511
"Kalispell, MT",-114.050,48.295
"Ellensburg, WA",-120.680,47.124
"La Grande, OR",-118.009,45.310
"Blytheville, AR",-90.054,35.764
"Logan, WV",-81.935,37.832
"Athens, TX",-95.854,32.212
"St. Marys, GA",-81.670,30.931
"Warner Robins, GA",-83.636,32.408
"Spokane-Spokane Valley, WA",-117.572,48.194
"Oak Harbor, WA",-122.548,48.163
"Roseburg, OR",-123.166,43.280
"Salt Lake City, UT",-113.011,40.471
"Elko, NV",-115.533,40.922
"Rapid City, SD",-102.900,44.191
"York-Hanover, PA",-76.727,39.920
"Helena-West Helena, AR",-90.848,34.428
"Buffalo-Cheektowaga-Niagara Falls, NY",-78.737,42.911
"Greeneville, TN",-82.846,36.175
"Sumter, SC",-80.382,33.916
"London, KY",-84.047,36.921
"Guayama, PR",-66.084,18.013
"Cape Coral-Fort Myers, FL",-81.834,26.578
"Steamboat Springs, CO",-106.991,40.485
"Jesup, GA",-81.917,31.551
"Summit Park, UT",-110.956,40.868
"Dunn, NC",-78.869,35.369
"Somerset, PA",-79.028,39.972
"Payson, AZ",-110.812,33.800
"Valdosta, GA",-83.242,30.829
"San Juan-Carolina-Caguas, PR",-66.112,18.276
"Findlay, OH",-83.667,41.002
"Amarillo, TX",-101.910,35.249
"Lima, OH",-84.106,40.772
"Laurel, MS",-89.144,31.818
"Alamogordo, NM",-105.741,32.613
"Lake Charles, LA",-93.260,30.017
"Hammond, LA",-90.406,30.627
"Bowling Green, KY",-86.407,37.039
"Bonham, TX",-96.107,33.594
"Rome, GA",-85.214,34.263
"Riverton, WY",-108.630,43.041
"Lafayette-West Lafayette, IN",-86.930,40.514
"Huntington, IN",-85.488,40.829
"Columbus, MS",-88.443,33.473
"DuBois, PA",-78.474,41.000
"Mobile, AL",-88.206,30.787
"Corvallis, OR",-123.429,44.492
"Tulsa, OK",-96.166,36.250
"Oneonta, NY",-75.033,42.634
"Rockingham, NC",-79.748,35.006
"Ogden-Clearfield, UT",-112.816,41.433
"Hailey, ID",-114.199,43.324
"Milwaukee-Waukesha-West Allis, WI",-88.172,43.177
"Lewiston, ID-WA",-116.944,46.269
"Redding, CA",-122.040,40.764
"Huntingdon, PA",-77.981,40.417
"Birmingham-Hoover, AL",-86.814,33.464
"Lock Haven, PA",-77.638,41.234
"Montgomery, AL",-86.403,32.361
"Greenville-Anderson-Mauldin, SC",-82.414,34.685
"Athens-Clarke County, GA",-83.214,33.949
"Hilton Head Island-Bluffton-Beaufort, SC",-80.877,32.410
"Owensboro, KY",-87.069,37.700
"Athens, TN",-84.617,35.425
"Beckley, WV",-81.161,37.906
"Fairbanks, AK",-146.565,64.808
"Forest City, NC",-81.920,35.403
"Paris, TN",-88.301,36.332
"Eureka-Arcata-Fortuna, CA",-123.876,40.699
"Allentown-Bethlehem-Easton, PA-NJ",-75.404,40.789
"Iron Mountain, MI-WI",-88.076,45.947
"Bellingham, WA",-121.720,48.826
"Palatka, FL",-81.744,29.609
"Bogalusa, LA",-90.040,30.853
"Billings, MT",-108.718,45.781
"Bridgeport-Stamford-Norwalk, CT",-73.389,41.271
"The Dalles, OR",-121.168,45.160
"Lake City, FL",-82.622,30.224
"Natchitoches, LA",-93.096,31.724
"Odessa, TX",-102.543,31.869
"Bay City, TX",-96.011,28.821
"Merced, CA",-120.718,37.192
"Pocatello, ID",-112.225,42.668
"Martin, TN",-88.718,36.298
"Houghton, MI",-88.596,47.163
"Palm Bay-Melbourne-Titusville, FL",-80.732,28.294
"Grand Junction, CO",-108.466,39.018
"Santa Cruz-Watsonville, CA",-122.002,37.056
"DeRidder, LA",-93.343,30.648
"Durham-Chapel Hill, NC",-79.100,35.991
"Monroe, LA",-92.285,32.687
"St. Louis, MO-IL",-90.350,38.735
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-75.302,39.906
"Terre Haute, IN",-87.344,39.392
"Eagle Pass, TX",-100.314,28.742
"Newberry, SC",-81.600,34.290
"Vallejo-Fairfield, CA",-121.933,38.270
"Clarksburg, WV",-80.430,39.289
"Victoria, TX",-97.195,28.728
"Orangeburg, SC",-80.800,33.439
"Erie, PA",-80.033,41.993
"Madisonville, KY",-87.541,37.309
"Dothan, AL",-85.462,31.253
"Dayton, TN",-84.924,35.609
"Chico, CA",-121.601,39.667
"Palestine, TX",-95.653,31.813
"Ketchikan, AK",-130.929,55.585
"Cincinnati, OH-KY-IN",-84.427,39.072
"Salisbury, MD-DE",-75.469,38.416
"Durango, CO",-107.843,37.287
"Sandusky, OH",-82.619,41.363
"Seneca, SC",-83.066,34.753
"Searcy, AR",-91.746,35.256
"Modesto, CA",-120.998,37.559
"Jefferson, GA",-83.566,34.134
"Virginia Beach-Norfolk-Newport News, VA-NC",-76.454,36.833
"Central City, KY",-87.142,37.216
"Staunton-Waynesboro, VA",-79.129,38.163
"Roanoke Rapids, NC",-77.542,36.326
"Greenwood, SC",-82.301,34.190
"Napa, CA",-122.331,38.506
"Baton Rouge, LA",-91.133,30.571
"Troy, AL",-85.941,31.803
"Sunbury, PA",-76.709,40.852
"Huntsville, TX",-95.366,30.904
"Cullman, AL",-86.868,34.132
"Plymouth, IN",-86.262,41.325
"Cedartown, GA",-85.188,34.002
"Warrensburg, MO",-93.806,38.744
"Sweetwater, TX",-100.406,32.304
"Killeen-Temple, TX",-97.788,31.208
"Canton, IL",-90.207,40.473
"Auburn-Opelika, AL",-85.355,32.601
"Thomaston, GA",-84.299,32.881
"Hastings, NE",-98.501,40.524
"Valley, AL",-85.392,32.914
"Willmar, MN",-95.005,45.152
"Florence-Muscle Shoals, AL",-87.724,34.808
"Champaign-Urbana, IL",-88.295,40.227
"Fairfield, IA",-91.949,41.032
"Medford, OR",-122.729,42.432
"Gainesville, FL",-82.477,29.688
"Denver-Aurora-Lakewood, CO",-104.894,39.434
"Ottawa-Peru, IL",-89.173,41.357
"Joplin, MO",-94.340,37.057
"Calhoun, GA",-84.876,34.503
"McPherson, KS",-97.648,38.392
"Greensburg, IN",-85.501,39.307
"Mason City, IA",-93.261,43.204
"Springfield, MO",-93.177,37.362
"Whitewater-Elkhorn, WI",-88.542,42.668
"Auburn, NY",-76.555,42.917
"Mansfield, OH",-82.536,40.775
"Wooster, OH",-81.888,40.829
"Richmond-Berea, KY",-84.294,37.572
"Huntsville, AL",-86.735,34.783
"Port Clinton, OH",-83.141,41.538
"New Castle, PA",-80.334,40.991
"Keene, NH",-72.251,42.919
"Coos Bay, OR",-124.059,43.174
"Gainesville, GA",-83.820,34.317
"Ruston, LA",-92.665,32.602
"Brookhaven, MS",-90.454,31.532
"Minot, ND",-101.208,48.319
"Coco, PR",-66.255,18.007
"Pueblo, CO",-104.513,38.173
"McMinnville, TN",-85.779,35.679
"Youngstown-Warren-Boardman, OH-PA",-80.568,41.238
"Montrose, CO",-108.269,38.402
"Ottawa, KS",-95.286,38.565
"Cambridge, OH",-81.494,40.052
"Van Wert, OH",-84.586,40.855
"Ardmore, OK",-97.286,34.251
"Lafayette, LA",-92.060,30.025
